favorite_count;full_text;Predicted_Label
0;@Andria75777 Sengaja yah biar orang beralih ke mobil/motor listrik Pantesan mobilku kadang terbatuk2 ditanjakan;negatif
0;Pagi ini nyetir mobil listrik full senyum hehe (i love mobil listrik);positif
0;Mobil listrik di oplos jg?;negatif
0;@Atuung95 Wahh keren banget ya mobil listrik nyaaq;positif
0;apa iya mobil listrik saat ini ramah lingkungan? listrik saja dari PLTU yang hampir semua pakai batubara dan tidak ada tambang batu bara tanpa merusak lingkungan.....;negatif
0;@TxtdariHI Karena Norwegia adalah konsumen terbesar mobil listrik yang pemasok terbanyak ya Tiongkok;negatif
0;ga tidur seharian pulang kemaleman listrik mati hp lowbat belum masak nasi charger di mobil hampir mati kedinginan YA ALLAH https://t.co/ENcZvQeEgc;negatif
0;Malam malam gini gelap min @pln_123 . Bolak balik saya tulis twett laporan . Ternyata masih saja pemadaman . Saya pikir ada patroli mobil @pln_123 sudah antisipasi terjadi sering mati listrik @pln_123 di daerah saya ini . Ternyata salah;negatif
0;@Atuung95 Tapi sayang mobil listrik tidak begitu laki di Indonesia;negatif
2;@V3g3L Jadi ingat Selo dan Gendhis karya bang Ricky Elson dkk yang gagal uji emisi (mobil listrik gagal uji emisi);negatif
0;Pas aku lagi ke sana tu ombak pantainya lagi besarrrr bngttt sampe rumah yg dipinggir pantai itu hancur kena ombak dan di garasinya ada mobil listrik yg bagus bngt dan super canggih oh ya baru inget mobil listrik itu kaya pernah liat dmna taunya di game anjr dari tadi mikirin;negatif
1;Pak Ustadz izin tanya kalau naik mobil listrik pas lagi hujan kira-kira kita bakal kesetrum nggak ya? terima kasih https://t.co/z7z1YvBDFR;positif
0;@kegblgnunfaedh Udh 2025 masih isi bensin? Tinggal colokin d rumah aja mobil listrik udah menjamur irit boosss;positif
0;@Atuung95 Luar negeri udah kejar kejar nya bikin mobil listrik ya;positif
0;First time naik mobil listrik. Taxi pula. Emang baiknya mobil listrik jadi transum dulu buat ngebuktiin durability nya https://t.co/WighyYISei;positif
162;Giliran ada presiden yg mau nambah nilai ekspor hasil tambang ada aja yg ributin. Smelter diributin investasi China diributin investor mobil listrik dikasih fasilitas diributin. Maunya industrialisasi tiba-tiba langsung jadi gitu aja apa..;negatif
1;@alisyarief Mobil n Kendaraan listrik dr chinanya d batasi jgn smpai cuma banyak terjadi kemacetan tabrakan beruntun bahkan d khawatirkan meledak beruntun krn batrenya bengkak ... ?? #PerangIritPeluru;negatif
0;@hotmanParis Bung Hotman...katanya Anda butuh lahan untuk bangun Masjid ...sy ada neh lahan milik sy pribadi Luas 3660m Akses mobil sampai lokasi tanah sblh tanah rmh warga listrik tinggal sambung harga 100rb/m... Lokasi Sukabumi kabupaten Wa 0858 1155 4911.. Mulyadi.... trim's.;positif
0;@maman1965 Bung Hotman...katanya Anda butuh lahan untuk bangun Masjid ...sy ada neh lahan milik sy pribadi Luas 3660m Akses mobil sampai lokasi tanah sblh tanah rmh warga listrik tinggal sambung harga 100rb/m... Lokasi Sukabumi kabupaten Wa 0858 1155 4911.. Mulyadi.... trim's.;positif
2;Mobil listrik China udah makin nunjukin taring ya. Kejauhan deh kalo ditanya indonesia mau jadi pemain atau cuma jadi pasar. Wkwk dalemnya aja acak2an gimana mikir mau jadi pemain global. Kursus bahasa Mandarin ajalah..;negatif
0;Mobil Listrik yang Cuma Numpang Parkir di SPKLU Ini Bakal Kena 'Denda' https://t.co/lHBG05tpQQ;negatif
0;Sebuah mobil hangus dilalap api di belakang Superhiro PIK 2 Tangerang Selasa (1/3) siang. Diduga akibat korsleting listrik api cepat membesar dan membuat warga panik. Beruntung tidak ada korban jiwa dalam insiden ini. #garudatv #laporan8 #MobilTerbakar #Kebakaran #PIK2 https://t.co/qzSuhcXEec;negatif
0;dan besok pagi mobil siap dipakai dengan baterai penuh. Yuk nikmati kemudahan menggunakan kendaraan listrik! #PLN #PLNUIDSulselrabar #PLNUntukIndonesia #AcceleratingRenewableEnergy #Swasembadaenergi #PLNMobile #PLNTerdepanEV;positif
0;Mobil listrik Denza D9 dikabarkan bakal jadi unit terbaru milik perusahaan taksi Bluebird Group tepatnya untuk layanan Goldenbird https://t.co/CkF1KABk5m;positif
1;@wastedrockers1 Heleh pertamina juga sama bobroknya. Kalau anti spbu luar beli mobil listrik mas;negatif
1;@IllyakashkovaVT demi tuhan aku ga tau mobil kekuaran byd bisa nyampe segitu kecepatannya. itu listrik kan?;positif
1;@JefferyRaffa @ARSIPAJA itu maksudnya... om luhut udh teken kontran sama perusahaan cina buat jual kendaraan listrik. - mobil listrik selo di jegal karena tidak lulus uji emisi - 2026 subsidi BBM hilang;negatif
0;@PPayung4683 @reyvanGali @TxtdariHI eropa kemarin menaikkan tarif bea masuk mobil listrik china kesana kita sama tau lah produk china murah dan itu otomatis mematikan produk² eropa ya seperti indo lah mobil china udah bnyak skrg dan murah membelot ke china sama aja otw jadi negara kek indo hehe;negatif
0;Perusahaan akan melakukan penyesuaian pada spesifikasi dan fitur mobil listrik XPeng di Indonesia dengan memperhatikan kebutuhan pasar lokal https://t.co/eT28ROwxS7;positif
0;@_pln_id Keren banget nih IIMS 2025 semoga makin banyak yang tertarik sama mobil listrik ya.;positif
0;Mobil listrik bisa nggak sih dicharge menggunakan powerbank;positif
0;@bsyafaa0272 Ternyata buat mobil listrik aja ya;negatif
0;@Atuung95 Mobil terbang udah ada mobil listrik juga udah ada;negatif
34;@wastedrockers1 hahaha sering2 jelekin pom luar biar pertamina keliatan paling baik dari kemarin banyak banget post kaya gini kalo ga suka lu naik mobil listrik aja sekalian wkwkwkwkkwkw;negatif
0;owe ga maen tiktok wkwk tp emg dsini gda selain pertamina hiks bisa apa atuh wkwk ganti mobil listrik kali ya ;negatif
0;@my_name_is_riza @idextratime @detikcom ya itukan baru dari Jersey bang blm dari yg lain jg kalo dibandingin sama jepang ya jelas kalah telak bang bagai langit dan bumi Setau gw kamrin timnas dpt sponsor baru mobil listrik dari Vietnam tapi ya jelas masih kurang sih;negatif
0;@renezisme Bentar yh pinjem mobil listrik dulu ke Luhut.;negatif
0;dari ngomongin madrid pertamina pabrik tutup dan mobil listrik. tapi ada hal lucu pas ngomongin mobil listrik mamang bilang katanya dia suka mobil hyundai yang lampu depannya kotak which is SANTA FE ALIAS GWEH JUGA SANGAT AMAT SENENG SAMA TU MOBIL;negatif
0;@prophetofzorck Kisruh BBM ini akan membuat industri otomotif akan beralih ke hibrid dan mobil listrik..!! Sekarang di kota kota besar Indonesia sudah bersiliweran mobil listrik..;positif
0;"@saeroem takut kakak malah nabrak... &lt;//3 DEG. kayanya waktunya kita pake mobil listrik aja ga sih.. ";positif
0;@Bambangmulyonoo driver ojol kalah istimewa dgn pembeli mobil listrik yg mendapat subsidi... kebijakan bahlil gak ada yg pernah menyenangkan rakyat ..;negatif
2;Nggak perlu antri di luar cukup colok di rumah tidur nyenyak dan besok pagi mobil siap dipakai dengan baterai penuh. Yuk nikmati kemudahan menggunakan kendaraan listrik! #AcceleratingRenewableEnergy #Swasembadaenergi #PLNMobile #PLNTerdepanEV https://t.co/KU0BHTqXZk;positif
0;@kegblgnunfaedh Di daerah gak ada pom swasta. Kota gede kyk jogja dan solo pun gak ada setau gw. Beralih ke mobil listrik aja. Cuma yakin gak ada korupsi di PLN ?;negatif
2;Nggak perlu antri di luar cukup colok di rumah tidur nyenyak dan besok pagi mobil siap dipakai dengan baterai penuh. Yuk nikmati kemudahan menggunakan kendaraan listrik! #AcceleratingRenewableEnergy #Swasembadaenergi #PLNMobile #PLNTerdepanEV https://t.co/O8XhfjqAfS;positif
0;Kenapa harus tahu tipe konektor? Bayangin kamu lagi road trip baterai mobil listrik tinggal 10% dan akhirnya nemu SPKLU... Eh colokannya gak cocok! #PLN #PLNUIDSulselrabar #plnmobile #semuamakinmudah #PLNUntukIndonesia #AcceleratingRenewableEnergy https://t.co/Sck2naXL1H;positif
0;@nashiyel tolong bantuannya kk. kita semua perlu mobil listrik baru. ;positif
0;Seharian sepi banget giliran abis taraweh baru pada geger ini para bocil. Kaya mobil listrik abis dicharge tenaganya full ampe subuh nanti;negatif
0;@bakuldimsum_ kasian banget yaa hidup kalian(cwe) pasti kalo motor mogok kalian yg disuruh dorong ya kalo mobil mogok kalian (cwe) yg dorong kan kerja udah hamil ngerawat anak urusin rumah sampek2 mau2 aja benerin tandon listrik plafon dll.. wkwk.. demi kesetaraan ;negatif
0;Banggar DPR Lebih Setuju Subsidi Motor Listrik Daripada Mobil Listrik https://t.co/bP8FZDIiw9;positif
5;Nggak perlu antri di luar cukup colok di rumah tidur nyenyak dan besok pagi mobil siap dipakai dengan baterai penuh. Yuk nikmati kemudahan menggunakan kendaraan listrik! #AcceleratingRenewableEnergy #Swasembadaenergi #PLNMobile #PLNTerdepanEV https://t.co/AovhjtgJwM;positif
0;AFTERNYA sepupu gw dan suami nya tinggal brg ortu sepupu gw dari awal nikah sampe skrng detik ini pun kagak ada sepeser pun bantu bantu acan. bayar paroan dr listrik air wifi bulanan PAJAK MOTOR MOBIL yg dia pake literally numpang hidup dr ortunya ajh wkwkwk;negatif
0;@NHenryp29864 Seru banget nih liat perkembangan mobil listrik Vietnam. Semoga Indonesia juga bisa segera maju dalam hal teknologi seperti mereka.;positif
2;@JohnAarivEd Pake mobil listrik aja eh tp tetep bayar ke pln ya;negatif
0;@bsyafaa0272 byd emang bukan sekadar produsen mobil listrik pengaruhnya luas banget!;positif
0;@ZZZero0O0 @Blublu77193201 @richgoddessdin @hrdbacot Mobil listrik yg dapet untung LBP wkwk;negatif
0;@luculucuaaan Mobil listrik menangis melihat ini;negatif
0;@kitsanother maunya mobil listrik;positif
0;@kegblgnunfaedh yah saya pelosok bisa ap mesti plat merah sebenernya jg udh ga mau make plat merah. mau ambil mobil listrik males bgt perwatannya mesti extra bgt;positif
1;@bsyafaa0272 Wah menarik! Ternyata BYD tidak hanya berfokus pada mobil listrik tapi juga memiliki peran besar dalam industri baterai global. Mereka benar-benar pemain kunci di balik teknologi yang kita gunakan sehari-hari!;positif
0;@gorbon_ Angjai mobil listrik;positif
0;@Blublu77193201 @richgoddessdin @hrdbacot Solusinya mobil listrik bentar lagi juga banyak kok yang lebih murah drpd mobil bensin makannya klo mau mikirin long term kita harus awasin PLN dari sekarang;positif
0;Migas gak pake oligarki gulungnya gampang. Psn pik2 melibatkan oligarki penguasa ekonomi Konoha sesungguhnya...bikin keder keluar air mata. Mending korbanin aja Indonesia semuanya...timah nikel laut hutan minyak goreng mobil listrik.;negatif
0;@Bambangmulyonoo Emg selain motor pribadi ada motor apa? Tuh mobil listrik yg beli juga orang kaya ngapain disubsidi?;negatif
